StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent Form 1,Consent Form 2,Consent Form 3,Consent Form 4,Consent Form 5,Consent Form 6,Consent Form 7,Consent Form 8,User ID,Final agreement,SUS 1,SUS 2,SUS 3,SUS 4,SUS 5,SUS 6,SUS 7,SUS 8,SUS 9,SUS 10,Task Name,Robot exp,SpaceMouse exp,Feeback 1,Feedback 2,Feedback 3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I have read and understood the information about the project.,I have been given the opportunity to ask questions about the project and my participation.,I voluntarily agree to participate in the project.,I understand I can end my participation at any time without giving reasons.,"I understand that the study records only my robot arm movements (trajectory data) during the demonstrations. No audio, video, or personal data will be recorded.","I understand that the analyses and final results will be formatted anonymously. The researcher may present some of the findings publicly at conferences or in publications, but my identity will not be identified in the published reports.",I understand that my demonstration data will be stored anonymously and used solely for research purposes within this bachelor thesis.,"I understand that anonymous data may be referenced in the thesis and any resulting publications, but I will not be identifiable in any output.",Place type in your ID,"By ticking this box and entering your participant ID, you confirm that you have read and understood the information above and consent to participate.",I think that I would like to use this system frequently.,I found the system unnecessarily complex.,I thought the system was easy to use.,I think that I would need the support of a technical person to be able to use this system.,I found the various functions in this system were well integrated.,I thought there was too much inconsistency in this system.,I would imagine that most people would learn to use this system very quickly.,I found the system very cumbersome to use.,I felt very confident using the system.,I needed to learn a lot of things before I could get going with this system.,"Look at the scene for a moment. If you were to teach this robot a task, what would you choose using given objects? Name 3 tasks that feel natural to you just by looking at the environment.



For each task write a short but informative name  - for example: ""put the cube in the bin"". (task can be more complex)",Have you previously operated a robot arm?,Have you previously used a SpaceMouse or similar devices?,What would make this system easier or more enjoyable to use? (optional),Was there anything frustrating about the system during the session? (optional),What part of the experience felt most intuitive to you? (optional)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID37_TEXT""}"
2026-06-08 05:38:47,2026-06-08 06:04:32,IP Address,130.37.186.44,100,1545,True,2026-06-08 06:04:33,R_2OeocV3DGCX3tf3,,,,,52.3591,4.793,anonymous,EN,I understand,I understand,I understand,I understand,I understand,I understand,I understand,I understand,1,I agree to participate,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,"1. pick up the hammer and put it into drawer
2. pick up the can and insert it into the hollow
3. pick up the cub and put it into the drawer",,,/,no,the whole pipeline from collection done to policy training
2026-06-08 06:16:57,2026-06-08 06:56:42,IP Address,130.37.186.44,100,2385,True,2026-06-08 06:56:43,R_8qWu8d3rK3zkflf,,,,,52.3591,4.793,anonymous,EN,I understand,I understand,I understand,I understand,I understand,I understand,I understand,I understand,2,I agree to participate,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,"""Put the red and blue cylinders on their sides""
""Put the hollow octagonal prism around the blue cylinder""
""Throw everything off the table""",,,More uniform color coordination with functionality in the overlay.,"The block and goal task was a bit difficult, but that was mostly me being slow.","I think the buttons in the ""Record"" section were pretty well designed to give a flow state to the user, making them less prone to making a mistake."
2026-06-08 07:10:39,2026-06-08 08:23:01,IP Address,130.37.186.44,100,4342,True,2026-06-08 08:23:02,R_2MtEqUqIf5lF68s,,,,,52.3591,4.793,anonymous,EN,I understand,I understand,I understand,I understand,I understand,I understand,I understand,I understand,3,I agree to participate,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,"put can in hollow cylinder.
smash can with hammer
stack can on top of cylinder",No,Yes,"the spacemouse was weird and not nice to use, i would rather have joysticks",the spacemouse was hard to operate,
2026-06-09 01:58:16,2026-06-09 02:26:53,IP Address,130.37.186.44,100,1716,True,2026-06-09 02:26:53,R_8cZLzoPC4KTARPH,,,,,52.3591,4.793,anonymous,EN,I understand,I understand,I understand,I understand,I understand,I understand,I understand,I understand,4,I agree to participate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,"Put can in hole.
Hammer solid cilinder in hollow cilinder.
Stack can on blue cilinder.
",No,Yes,Maybe a manual or more precise instructions in the interface,No not frustrating but I felt stupid not able to find stuff,"Moving the robot arm, but that is mostly because I know the dimensions of the arm itself."
2026-06-09 07:46:46,2026-06-09 08:12:18,IP Address,130.37.186.44,100,1532,True,2026-06-09 08:12:18,R_2j1nZP9ln8uChp2,,,,,52.3591,4.793,anonymous,EN,I understand,I understand,I understand,I understand,I understand,I understand,I understand,I understand,5,I agree to participate,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"Smash the glass drawer, put the blue cyllinder in the hollow cyllinder, crush the can
",Yes,Yes,"I did not really understand the flow of things, for example why I had to click ""process & merge"" data and then go to the training tab to train. Or why I had to create a new task and there wasn't a preexisting task already there.","See above, lack of direction or instruction about the flow of the interface beforehand",Running the demonstrations back to back
2026-06-09 08:21:40,2026-06-10 03:58:01,IP Address,130.37.186.44,100,70581,True,2026-06-10 03:58:02,R_8vc3W6NJCdi3q7t,,,,,52.3591,4.793,anonymous,EN,I understand,I understand,I understand,I understand,I understand,I understand,I understand,I understand,6,I agree to participate,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,"1. Place the blue cyllinder into the bin
2. Place the blue cyllinder into the hollow cyllinder
3. Put the can on top of the cube",Yes,Yes,"detailed instruction (eg having pics of the buttons to click) ",no,
2026-06-10 04:01:23,2026-06-10 04:39:51,IP Address,130.37.186.44,100,2307,True,2026-06-10 04:39:51,R_2anIqP871mLM3NT,,,,,52.3591,4.793,anonymous,EN,I understand,I understand,I understand,I understand,I understand,I understand,I understand,I understand,7,I agree to participate,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,You could put the grey hex-cylinder in the bin and put the blue cylinder in the grey hex-cylinder.,No,No,,,"Making use if the Spacemouse was easy to use, once you get the grasp of it."
2026-06-11 02:49:17,2026-06-11 03:17:59,IP Address,130.37.186.44,100,1721,True,2026-06-11 03:17:59,R_8TGISiYovGnOdiH,,,,,52.3591,4.793,anonymous,EN,I understand,I understand,I understand,I understand,I understand,I understand,I understand,I understand,8,I agree to participate,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,"put the cylinder in the hollow cylinder 
knock down cylinder or can with a hammer 
put all elements in the bin",No,No,,,task selection and processing and execution
