rollout_id,success,horizon,return
0,0,400,0.0
1,0,400,0.0
2,0,400,0.0
3,1,387,1.0
4,1,121,1.0
5,0,400,0.0
6,1,225,1.0
7,1,122,1.0
8,0,400,0.0
9,0,400,0.0
10,0,400,0.0
11,0,400,0.0
12,1,398,1.0
13,0,400,0.0
14,0,400,0.0
15,0,400,0.0
16,1,100,1.0
17,0,400,0.0
18,0,400,0.0
19,0,400,0.0
20,0,400,0.0
21,0,400,0.0
22,0,400,0.0
23,0,400,0.0
24,0,400,0.0
25,1,153,1.0
26,1,202,1.0
27,0,400,0.0
28,0,400,0.0
29,0,400,0.0
30,0,400,0.0
31,0,400,0.0
32,0,400,0.0
33,1,122,1.0
34,1,183,1.0
35,0,400,0.0
36,0,400,0.0
37,0,400,0.0
38,0,400,0.0
39,0,400,0.0
40,0,400,0.0
41,1,132,1.0
42,0,400,0.0
43,0,400,0.0
44,0,400,0.0
45,0,400,0.0
46,0,400,0.0
47,0,400,0.0
48,0,400,0.0
49,1,116,1.0
