rollout_id,success,horizon,return
0,0,400,0.0
1,1,307,1.0
2,0,400,0.0
3,0,400,0.0
4,0,400,0.0
5,1,278,1.0
6,0,400,0.0
7,0,400,0.0
8,0,400,0.0
9,1,291,1.0
10,0,400,0.0
11,0,400,0.0
12,0,400,0.0
13,1,192,1.0
14,1,215,1.0
15,0,400,0.0
16,0,400,0.0
17,0,400,0.0
18,0,400,0.0
19,0,400,0.0
20,0,400,0.0
21,1,139,1.0
22,0,400,0.0
23,0,400,0.0
24,0,400,0.0
25,1,168,1.0
26,0,400,0.0
27,0,400,0.0
28,1,284,1.0
29,1,305,1.0
30,0,400,0.0
31,0,400,0.0
32,0,400,0.0
33,0,400,0.0
34,1,138,1.0
35,0,400,0.0
36,1,138,1.0
37,1,147,1.0
38,0,400,0.0
39,0,400,0.0
40,1,163,1.0
41,0,400,0.0
42,0,400,0.0
43,0,400,0.0
44,1,167,1.0
45,1,143,1.0
46,1,171,1.0
47,0,400,0.0
48,1,171,1.0
49,0,400,0.0
