rollout_id,success,horizon,return
0,0,400,0.0
1,0,400,0.0
2,1,188,1.0
3,1,271,1.0
4,0,400,0.0
5,0,400,0.0
6,0,400,0.0
7,0,400,0.0
8,1,286,1.0
9,1,325,1.0
10,1,155,1.0
11,1,300,1.0
12,1,199,1.0
13,0,400,0.0
14,1,251,1.0
15,0,400,0.0
16,0,400,0.0
17,0,400,0.0
18,1,150,1.0
19,1,215,1.0
20,0,400,0.0
21,1,220,1.0
22,0,400,0.0
23,0,400,0.0
24,1,207,1.0
25,1,280,1.0
26,0,400,0.0
27,0,400,0.0
28,1,217,1.0
29,1,132,1.0
30,0,400,0.0
31,0,400,0.0
32,0,400,0.0
33,1,330,1.0
34,1,304,1.0
35,1,245,1.0
36,0,400,0.0
37,1,307,1.0
38,1,134,1.0
39,1,318,1.0
40,0,400,0.0
41,0,400,0.0
42,0,400,0.0
43,0,400,0.0
44,0,400,0.0
45,0,400,0.0
46,0,400,0.0
47,0,400,0.0
48,0,400,0.0
49,0,400,0.0
