rollout_id,success,horizon,return
0,1,131,1.0
1,1,299,1.0
2,0,400,0.0
3,0,400,0.0
4,1,92,1.0
5,1,98,1.0
6,1,166,1.0
7,1,139,1.0
8,1,88,1.0
9,0,400,0.0
10,0,400,0.0
11,0,400,0.0
12,1,128,1.0
13,0,400,0.0
14,1,140,1.0
15,0,400,0.0
16,0,400,0.0
17,0,400,0.0
18,1,135,1.0
19,0,400,0.0
20,0,400,0.0
21,1,180,1.0
22,0,400,0.0
23,0,400,0.0
24,0,400,0.0
25,0,400,0.0
26,1,186,1.0
27,0,400,0.0
28,0,400,0.0
29,0,400,0.0
30,0,400,0.0
31,1,107,1.0
32,0,400,0.0
33,0,400,0.0
34,0,400,0.0
35,1,121,1.0
36,1,141,1.0
37,0,400,0.0
38,0,400,0.0
39,1,121,1.0
40,0,400,0.0
41,0,400,0.0
42,0,400,0.0
43,1,186,1.0
44,1,101,1.0
45,0,400,0.0
46,0,400,0.0
47,0,400,0.0
48,1,89,1.0
49,0,400,0.0
