rollout_id,success,horizon,return
0,1,306,1.0
1,1,149,1.0
2,0,400,0.0
3,0,400,0.0
4,0,400,0.0
5,1,123,1.0
6,1,252,1.0
7,1,329,1.0
8,0,400,0.0
9,0,400,0.0
10,0,400,0.0
11,0,400,0.0
12,0,400,0.0
13,0,400,0.0
14,0,400,0.0
15,0,400,0.0
16,1,145,1.0
17,0,400,0.0
18,0,400,0.0
19,1,157,1.0
20,0,400,0.0
21,0,400,0.0
22,1,126,1.0
23,1,190,1.0
24,1,138,1.0
25,0,400,0.0
26,1,187,1.0
27,0,400,0.0
28,0,400,0.0
29,1,151,1.0
30,1,253,1.0
31,1,312,1.0
32,1,223,1.0
33,1,215,1.0
34,0,400,0.0
35,0,400,0.0
36,1,371,1.0
37,0,400,0.0
38,0,400,0.0
39,0,400,0.0
40,0,400,0.0
41,0,400,0.0
42,0,400,0.0
43,1,152,1.0
44,1,174,1.0
45,1,168,1.0
46,0,400,0.0
47,0,400,0.0
48,0,400,0.0
49,1,177,1.0
