rollout_id,success,horizon,return
0,1,261,1.0
1,1,362,1.0
2,0,400,0.0
3,0,400,0.0
4,0,400,0.0
5,0,400,0.0
6,0,400,0.0
7,1,385,1.0
8,0,400,0.0
9,0,400,0.0
10,0,400,0.0
11,0,400,0.0
12,0,400,0.0
13,0,400,0.0
14,0,400,0.0
15,1,290,1.0
16,0,400,0.0
17,0,400,0.0
18,1,152,1.0
19,0,400,0.0
20,1,151,1.0
21,0,400,0.0
22,0,400,0.0
23,0,400,0.0
24,1,130,1.0
25,1,146,1.0
26,1,150,1.0
27,0,400,0.0
28,0,400,0.0
29,0,400,0.0
30,0,400,0.0
31,0,400,0.0
32,0,400,0.0
33,0,400,0.0
34,0,400,0.0
35,0,400,0.0
36,1,119,1.0
37,1,140,1.0
38,1,142,1.0
39,0,400,0.0
40,0,400,0.0
41,0,400,0.0
42,0,400,0.0
43,0,400,0.0
44,0,400,0.0
45,0,400,0.0
46,0,400,0.0
47,1,241,1.0
48,1,137,1.0
49,0,400,0.0
