rollout_id,success,horizon,return
0,0,400,0.0
1,0,400,0.0
2,1,128,1.0
3,1,156,1.0
4,0,400,0.0
5,1,331,1.0
6,0,400,0.0
7,1,121,1.0
8,0,400,0.0
9,0,400,0.0
10,1,343,1.0
11,1,221,1.0
12,1,105,1.0
13,1,131,1.0
14,0,400,0.0
15,0,400,0.0
16,0,400,0.0
17,0,400,0.0
18,0,400,0.0
19,1,179,1.0
20,0,400,0.0
21,1,297,1.0
22,0,400,0.0
23,1,121,1.0
24,0,400,0.0
25,0,400,0.0
26,1,253,1.0
27,1,109,1.0
28,1,103,1.0
29,1,118,1.0
30,0,400,0.0
31,1,128,1.0
32,0,400,0.0
33,0,400,0.0
34,1,257,1.0
35,0,400,0.0
36,0,400,0.0
37,1,176,1.0
38,0,400,0.0
39,0,400,0.0
40,0,400,0.0
41,0,400,0.0
42,0,400,0.0
43,0,400,0.0
44,1,118,1.0
45,1,208,1.0
46,1,152,1.0
47,0,400,0.0
48,0,400,0.0
49,0,400,0.0
