rollout_id,success,horizon,return
0,0,400,0.0
1,0,400,0.0
2,0,400,0.0
3,1,143,1.0
4,0,400,0.0
5,1,142,1.0
6,1,119,1.0
7,1,109,1.0
8,0,400,0.0
9,0,400,0.0
10,0,400,0.0
11,0,400,0.0
12,0,400,0.0
13,1,98,1.0
14,0,400,0.0
15,0,400,0.0
16,1,98,1.0
17,0,400,0.0
18,0,400,0.0
19,0,400,0.0
20,0,400,0.0
21,0,400,0.0
22,1,153,1.0
23,0,400,0.0
24,0,400,0.0
25,0,400,0.0
26,1,105,1.0
27,1,114,1.0
28,1,109,1.0
29,0,400,0.0
30,0,400,0.0
31,1,119,1.0
32,1,141,1.0
33,1,99,1.0
34,1,104,1.0
35,0,400,0.0
36,1,96,1.0
37,0,400,0.0
38,0,400,0.0
39,1,129,1.0
40,0,400,0.0
41,0,400,0.0
42,1,131,1.0
43,0,400,0.0
44,1,92,1.0
45,0,400,0.0
46,0,400,0.0
47,0,400,0.0
48,0,400,0.0
49,0,400,0.0
